pl_name,pl_bmasse,pl_rade,pl_dens,pl_radeerr1,pl_radeerr2,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_facility,pl_controv_flag,sy_dist
"G 9-40 b",4.76000,2.025,3.150000,0.096,-0.097,,,"Transit","K2",0,27.9276000
"HD 12661 b",772.32690,13.300,1.800000,,,44.49620,-44.49620,"Radial Velocity","Multiple Observatories",0,37.8478000
"HD 4203 b",708.76090,13.300,1.660000,,,66.74430,-66.74430,"Radial Velocity","W. M. Keck Observatory",0,81.3795000
"HD 106515 A b",3054.22000,12.500,8.590000,,,44.49000,-44.49000,"Radial Velocity","La Silla Observatory",0,34.0915000
"HD 220689 b",355.33394,13.700,0.759000,,,11.12405,-11.12405,"Radial Velocity","La Silla Observatory",0,46.8778000
"Kepler-773 b",2.63000,1.430,4.940000,0.090,-0.070,,,"Transit","Kepler",0,547.0260000
"HD 49674 b",31.78300,6.200,0.733000,,,3.17830,-3.17830,"Radial Velocity","W. M. Keck Observatory",0,43.0399000
"16 Cyg B b",565.73740,13.500,1.260000,,,25.42640,-25.42640,"Radial Velocity","Multiple Observatories",0,21.1397000
"30 Ari B b",4392.41060,12.300,13.000000,,,572.09400,-572.09400,"Radial Velocity","Thueringer Landessternwarte Tautenburg",0,44.6570000
"HD 62509 b",731.00000,13.300,1.710000,,,140.00000,-140.00000,"Radial Velocity","Multiple Observatories",0,10.3400000
"HD 208527 b",3146.40000,12.500,8.850000,,,540.30000,-540.30000,"Radial Velocity","Bohyunsan Optical Astronomical Observatory",0,312.2020000
"BD-06 1339 b",8.50000,2.850,2.020000,,,1.30000,-1.30000,"Radial Velocity","La Silla Observatory",0,20.2695000
"47 UMa c",171.62100,14.200,0.329000,,,20.97600,-23.20100,"Radial Velocity","Lick Observatory",0,13.7967000
"HD 191939 d",10.10000,3.160,1.760000,0.110,-0.110,,,"Transit","Transiting Exoplanet Survey Satellite (TESS)",0,53.6089000
"HD 7199 b",85.81410,11.100,0.345000,,,9.53490,-9.53490,"Radial Velocity","La Silla Observatory",0,36.1531000
"SR 12 AB c",4131.62000,12.300,12.200000,,,2224.72000,-2224.72000,"Imaging","Infrared Survey Facility",0,112.3172158
"KOI-55 c",0.65500,0.867,5.520000,,,,,"Orbital Brightness Modulation","Kepler",1,1231.0200000
"HD 75898 b",861.31930,13.200,2.060000,,,114.41880,-114.41880,"Radial Velocity","W. M. Keck Observatory",0,78.0505000
"HD 79498 b",425.89220,13.600,0.930000,,,66.74430,-66.74430,"Radial Velocity","McDonald Observatory",0,48.9489000
"WASP-42 b",167.49641,12.576,0.464000,0.437,-0.437,8.89924,-8.89924,"Transit","SuperWASP",0,177.2910000
"Kepler-751 b",6.62000,2.460,2.440000,0.230,-0.180,,,"Transit","Kepler",0,760.4300000
"CoRoT-2 b",1102.82000,16.432,1.470000,0.471,-0.493,69.92000,-69.92000,"Transit","CoRoT",0,213.2830000
"eps Eri b",247.90740,14.000,0.496000,,,120.77540,-38.13960,"Radial Velocity","Multiple Observatories",0,3.2026000
"HD 171238 b",864.49760,13.200,2.070000,,,155.73670,-155.73670,"Radial Velocity","La Silla Observatory",0,44.8113000
"HD 173416 b",858.10000,13.200,2.050000,,,95.30000,-95.30000,"Radial Velocity","Xinglong Station",0,132.1840000
